Number		Dims		Class Data
466		(64, 64, 3)		b'reel' (class 1)
467		(64, 64, 3)		b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui' (class 183)
468		(64, 64, 3)		b"potter's wheel" (class 96)
469		(64, 64, 3)		b'barn' (class 133)
470		(64, 64, 3)		b'teapot' (class 71)
471		(64, 64, 3)		b'gasmask, respirator, gas helmet' (class 83)
472		(64, 64, 3)		b'suspension bridge' (class 119)
473		(64, 64, 3)		b'barrel, cask' (class 65)
474		(64, 64, 3)		b'brass, memorial tablet, plaque' (class 155)
475		(64, 64, 3)		b'space heater' (class 30)
476		(64, 64, 3)		b'ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle' (class 76)
477		(64, 64, 3)		b'coral reef' (class 34)
478		(64, 64, 3)		b'goose' (class 67)
479		(64, 64, 3)		b'space heater' (class 30)
480		(64, 64, 3)		b'sandal' (class 97)
481		(64, 64, 3)		b'trilobite' (class 174)
482		(64, 64, 3)		b'bikini, two-piece' (class 142)
483		(64, 64, 3)		b'flagpole, flagstaff' (class 150)
484		(64, 64, 3)		b'bee' (class 87)
485		(64, 64, 3)		b"spider web, spider's web" (class 36)
486		(64, 64, 3)		b'plate' (class 143)
487		(64, 64, 3)		b'fountain' (class 140)
488		(64, 64, 3)		b'drumstick' (class 153)
489		(64, 64, 3)		b'beer bottle' (class 50)
490		(64, 64, 3)		b'banana' (class 46)
491		(64, 64, 3)		b'scoreboard' (class 148)
492		(64, 64, 3)		b'gazelle' (class 73)
493		(64, 64, 3)		b'bullfrog, Rana catesbeiana' (class 5)
494		(64, 64, 3)		b'dumbbell' (class 154)
495		(64, 64, 3)		b'bee' (class 87)
496		(64, 64, 3)		b"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk" (class 105)
497		(64, 64, 3)		b'picket fence, paling' (class 127)
498		(64, 64, 3)		b'lifeboat' (class 196)
499		(64, 64, 3)		b'trilobite' (class 174)
500		(64, 64, 3)		b'drumstick' (class 153)
501		(64, 64, 3)		b'poncho' (class 178)
502		(64, 64, 3)		b'cliff dwelling' (class 166)
503		(64, 64, 3)		b'king penguin, Aptenodytes patagonica' (class 41)
504		(64, 64, 3)		b'limousine, limo' (class 114)
505		(64, 64, 3)		b'lawn mower, mower' (class 138)
506		(64, 64, 3)		b'Yorkshire terrier' (class 135)
507		(64, 64, 3)		b'water tower' (class 109)
508		(64, 64, 3)		b'water jug' (class 118)
509		(64, 64, 3)		b'viaduct' (class 168)
510		(64, 64, 3)		b'bullfrog, Rana catesbeiana' (class 5)
511		(64, 64, 3)		b'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM' (class 106)
512		(64, 64, 3)		b'standard poodle' (class 194)
513		(64, 64, 3)		b'hog, pig, grunter, squealer, Sus scrofa' (class 101)
514		(64, 64, 3)		b'neck brace' (class 81)
515		(64, 64, 3)		b'bannister, banister, balustrade, balusters, handrail' (class 189)
516		(64, 64, 3)		b"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk" (class 105)
517		(64, 64, 3)		b'stopwatch, stop watch' (class 137)
518		(64, 64, 3)		b'gondola' (class 193)
519		(64, 64, 3)		b'alp' (class 60)
520		(64, 64, 3)		b'gazelle' (class 73)
521		(64, 64, 3)		b'abacus' (class 63)
522		(64, 64, 3)		b'lion, king of beasts, Panthera leo' (class 184)
523		(64, 64, 3)		b'guacamole' (class 53)
524		(64, 64, 3)		b'punching bag, punch bag, punching ball, punchball' (class 92)
525		(64, 64, 3)		b'poncho' (class 178)
526		(64, 64, 3)		b'dam, dike, dyke' (class 88)
527		(64, 64, 3)		b'candle, taper, wax light' (class 84)
528		(64, 64, 3)		b"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk" (class 105)
529		(64, 64, 3)		b'Persian cat' (class 131)
530		(64, 64, 3)		b'fountain' (class 140)
531		(64, 64, 3)		b'teddy, teddy bear' (class 144)
532		(64, 64, 3)		b'lifeboat' (class 196)
533		(64, 64, 3)		b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor' (class 102)
534		(64, 64, 3)		b'sea cucumber, holothurian' (class 37)
535		(64, 64, 3)		b'pay-phone, pay-station' (class 58)
536		(64, 64, 3)		b'backpack, back pack, knapsack, packsack, rucksack, haversack' (class 38)
537		(64, 64, 3)		b'birdhouse' (class 72)
538		(64, 64, 3)		b'brass, memorial tablet, plaque' (class 155)
539		(64, 64, 3)		b'kimono' (class 172)
540		(64, 64, 3)		b"spider web, spider's web" (class 36)
541		(64, 64, 3)		b'military uniform' (class 169)
542		(64, 64, 3)		b'nail' (class 29)
543		(64, 64, 3)		b'limousine, limo' (class 114)
544		(64, 64, 3)		b'sock' (class 47)
545		(64, 64, 3)		b'abacus' (class 63)
546		(64, 64, 3)		b'picket fence, paling' (class 127)
547		(64, 64, 3)		b'vestment' (class 104)
548		(64, 64, 3)		b'pay-phone, pay-station' (class 58)
549		(64, 64, 3)		b'comic book' (class 173)
550		(64, 64, 3)		b'confectionery, confectionary, candy store' (class 146)
551		(64, 64, 3)		b'beaker' (class 187)
552		(64, 64, 3)		b'suspension bridge' (class 119)
553		(64, 64, 3)		b'American alligator, Alligator mississipiensis' (class 160)
554		(64, 64, 3)		b'bee' (class 87)
555		(64, 64, 3)		b'cliff, drop, drop-off' (class 7)
556		(64, 64, 3)		b'Yorkshire terrier' (class 135)
557		(64, 64, 3)		b'chain' (class 171)
558		(64, 64, 3)		b'bikini, two-piece' (class 142)
559		(64, 64, 3)		b'beacon, lighthouse, beacon light, pharos' (class 93)
560		(64, 64, 3)		b'vestment' (class 104)
561		(64, 64, 3)		b'miniskirt, mini' (class 77)
562		(64, 64, 3)		b'beacon, lighthouse, beacon light, pharos' (class 93)
563		(64, 64, 3)		b'fur coat' (class 59)
564		(64, 64, 3)		b'ice lolly, lolly, lollipop, popsicle' (class 121)
565		(64, 64, 3)		b'apron' (class 134)
566		(64, 64, 3)		b'gondola' (class 193)
567		(64, 64, 3)		b'moving van' (class 64)
568		(64, 64, 3)		b'reel' (class 1)
569		(64, 64, 3)		b'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM' (class 106)
570		(64, 64, 3)		b'basketball' (class 6)
571		(64, 64, 3)		b'wok' (class 95)
572		(64, 64, 3)		b'broom' (class 124)
573		(64, 64, 3)		b'boa constrictor, Constrictor constrictor' (class 177)
574		(64, 64, 3)		b'nail' (class 29)
575		(64, 64, 3)		b'scorpion' (class 125)
576		(64, 64, 3)		b'dumbbell' (class 154)
577		(64, 64, 3)		b'flagpole, flagstaff' (class 150)
578		(64, 64, 3)		b'cannon' (class 80)
579		(64, 64, 3)		b'walking stick, walkingstick, stick insect' (class 181)
580		(64, 64, 3)		b'lakeside, lakeshore' (class 56)
581		(64, 64, 3)		b'bullfrog, Rana catesbeiana' (class 5)
582		(64, 64, 3)		b'chain' (class 171)
583		(64, 64, 3)		b'jellyfish' (class 94)
584		(64, 64, 3)		b'viaduct' (class 168)
585		(64, 64, 3)		b'barn' (class 133)
586		(64, 64, 3)		b'turnstile' (class 122)
587		(64, 64, 3)		b'dining table, board' (class 12)
588		(64, 64, 3)		b'turnstile' (class 122)
589		(64, 64, 3)		b'plate' (class 143)
590		(64, 64, 3)		b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria' (class 90)
591		(64, 64, 3)		b"potter's wheel" (class 96)
592		(64, 64, 3)		b'plate' (class 143)
593		(64, 64, 3)		b'seashore, coast, seacoast, sea-coast' (class 25)
594		(64, 64, 3)		b'comic book' (class 173)
595		(64, 64, 3)		b'dugong, Dugong dugon' (class 116)
596		(64, 64, 3)		b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui' (class 183)
597		(64, 64, 3)		b'alp' (class 60)
598		(64, 64, 3)		b'hog, pig, grunter, squealer, Sus scrofa' (class 101)
599		(64, 64, 3)		b'apron' (class 134)
600		(64, 64, 3)		b'bikini, two-piece' (class 142)
601		(64, 64, 3)		b'mantis, mantid' (class 51)
602		(64, 64, 3)		b'school bus' (class 15)
603		(64, 64, 3)		b'centipede' (class 161)
604		(64, 64, 3)		b'CD player' (class 70)
605		(64, 64, 3)		b'tabby, tabby cat' (class 66)
606		(64, 64, 3)		b'baboon' (class 32)
607		(64, 64, 3)		b'bison' (class 175)
608		(64, 64, 3)		b'beacon, lighthouse, beacon light, pharos' (class 93)
609		(64, 64, 3)		b'Egyptian cat' (class 0)
610		(64, 64, 3)		b'sombrero' (class 82)
611		(64, 64, 3)		b'viaduct' (class 168)
612		(64, 64, 3)		b'stopwatch, stop watch' (class 137)
613		(64, 64, 3)		b'cauliflower' (class 198)
614		(64, 64, 3)		b'birdhouse' (class 72)
615		(64, 64, 3)		b'fly' (class 113)
616		(64, 64, 3)		b'picket fence, paling' (class 127)
617		(64, 64, 3)		b'pill bottle' (class 98)
618		(64, 64, 3)		b'brown bear, bruin, Ursus arctos' (class 14)
619		(64, 64, 3)		b'go-kart' (class 163)
620		(64, 64, 3)		b'flagpole, flagstaff' (class 150)
621		(64, 64, 3)		b'gasmask, respirator, gas helmet' (class 83)
622		(64, 64, 3)		b'umbrella' (class 18)
623		(64, 64, 3)		b'barn' (class 133)
624		(64, 64, 3)		b'mashed potato' (class 167)
625		(64, 64, 3)		b'jellyfish' (class 94)
626		(64, 64, 3)		b'gondola' (class 193)
627		(64, 64, 3)		b'pole' (class 176)
628		(64, 64, 3)		b'American alligator, Alligator mississipiensis' (class 160)
629		(64, 64, 3)		b'pay-phone, pay-station' (class 58)
630		(64, 64, 3)		b'wok' (class 95)
631		(64, 64, 3)		b'CD player' (class 70)
632		(64, 64, 3)		b'frying pan, frypan, skillet' (class 86)
633		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
634		(64, 64, 3)		b'orange' (class 149)
635		(64, 64, 3)		b'snail' (class 33)
636		(64, 64, 3)		b'European fire salamander, Salamandra salamandra' (class 55)
637		(64, 64, 3)		b"academic gown, academic robe, judge's robe" (class 74)
638		(64, 64, 3)		b'dam, dike, dyke' (class 88)
639		(64, 64, 3)		b'snail' (class 33)
640		(64, 64, 3)		b'reel' (class 1)
641		(64, 64, 3)		b'grasshopper, hopper' (class 180)
642		(64, 64, 3)		b"academic gown, academic robe, judge's robe" (class 74)
643		(64, 64, 3)		b'crane' (class 103)
644		(64, 64, 3)		b'dining table, board' (class 12)
645		(64, 64, 3)		b'lifeboat' (class 196)
646		(64, 64, 3)		b'cannon' (class 80)
647		(64, 64, 3)		b'guacamole' (class 53)
648		(64, 64, 3)		b'cardigan' (class 31)
649		(64, 64, 3)		b"plunger, plumber's helper" (class 9)
650		(64, 64, 3)		b'sandal' (class 97)
651		(64, 64, 3)		b'apron' (class 134)
652		(64, 64, 3)		b'space heater' (class 30)
653		(64, 64, 3)		b'teddy, teddy bear' (class 144)
654		(64, 64, 3)		b'pill bottle' (class 98)
655		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
656		(64, 64, 3)		b'gondola' (class 193)
657		(64, 64, 3)		b'frying pan, frypan, skillet' (class 86)
658		(64, 64, 3)		b'viaduct' (class 168)
659		(64, 64, 3)		b"spider web, spider's web" (class 36)
660		(64, 64, 3)		b'scorpion' (class 125)
661		(64, 64, 3)		b"plunger, plumber's helper" (class 9)
662		(64, 64, 3)		b'flagpole, flagstaff' (class 150)
663		(64, 64, 3)		b'snail' (class 33)
664		(64, 64, 3)		b'beer bottle' (class 50)
665		(64, 64, 3)		b'organ, pipe organ' (class 19)
666		(64, 64, 3)		b'sea slug, nudibranch' (class 165)
667		(64, 64, 3)		b'Christmas stocking' (class 123)
668		(64, 64, 3)		b'butcher shop, meat market' (class 99)
669		(64, 64, 3)		b'pay-phone, pay-station' (class 58)
670		(64, 64, 3)		b'drumstick' (class 153)
671		(64, 64, 3)		b'spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish' (class 89)
672		(64, 64, 3)		b'gasmask, respirator, gas helmet' (class 83)
673		(64, 64, 3)		b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor' (class 102)
674		(64, 64, 3)		b'jinrikisha, ricksha, rickshaw' (class 108)
675		(64, 64, 3)		b'binoculars, field glasses, opera glasses' (class 197)
676		(64, 64, 3)		b'fly' (class 113)
677		(64, 64, 3)		b"plunger, plumber's helper" (class 9)
678		(64, 64, 3)		b'tabby, tabby cat' (class 66)
679		(64, 64, 3)		b'moving van' (class 64)
680		(64, 64, 3)		b'miniskirt, mini' (class 77)
681		(64, 64, 3)		b'Persian cat' (class 131)
682		(64, 64, 3)		b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor' (class 102)
683		(64, 64, 3)		b'barbershop' (class 145)
684		(64, 64, 3)		b'tarantula' (class 43)
685		(64, 64, 3)		b'jellyfish' (class 94)
686		(64, 64, 3)		b'pay-phone, pay-station' (class 58)
687		(64, 64, 3)		b'sewing machine' (class 129)
688		(64, 64, 3)		b'boa constrictor, Constrictor constrictor' (class 177)
689		(64, 64, 3)		b'mantis, mantid' (class 51)
690		(64, 64, 3)		b'sea cucumber, holothurian' (class 37)
691		(64, 64, 3)		b'sewing machine' (class 129)
692		(64, 64, 3)		b'goose' (class 67)
693		(64, 64, 3)		b'baboon' (class 32)
694		(64, 64, 3)		b'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon' (class 147)
695		(64, 64, 3)		b'meat loaf, meatloaf' (class 192)
696		(64, 64, 3)		b'mantis, mantid' (class 51)
697		(64, 64, 3)		b'teapot' (class 71)
698		(64, 64, 3)		b'remote control, remote' (class 54)
699		(64, 64, 3)		b'vestment' (class 104)
700		(64, 64, 3)		b'goldfish, Carassius auratus' (class 22)
701		(64, 64, 3)		b'walking stick, walkingstick, stick insect' (class 181)
702		(64, 64, 3)		b'lemon' (class 4)
703		(64, 64, 3)		b'European fire salamander, Salamandra salamandra' (class 55)
704		(64, 64, 3)		b'projectile, missile' (class 49)
705		(64, 64, 3)		b'standard poodle' (class 194)
706		(64, 64, 3)		b'viaduct' (class 168)
707		(64, 64, 3)		b'teapot' (class 71)
708		(64, 64, 3)		b'ox' (class 120)
709		(64, 64, 3)		b'orange' (class 149)
710		(64, 64, 3)		b'bullfrog, Rana catesbeiana' (class 5)
711		(64, 64, 3)		b'convertible' (class 157)
712		(64, 64, 3)		b'bell pepper' (class 188)
713		(64, 64, 3)		b'bee' (class 87)
714		(64, 64, 3)		b'bannister, banister, balustrade, balusters, handrail' (class 189)
715		(64, 64, 3)		b'mashed potato' (class 167)
716		(64, 64, 3)		b'hog, pig, grunter, squealer, Sus scrofa' (class 101)
717		(64, 64, 3)		b'viaduct' (class 168)
718		(64, 64, 3)		b'guacamole' (class 53)
719		(64, 64, 3)		b'grasshopper, hopper' (class 180)
720		(64, 64, 3)		b'drumstick' (class 153)
721		(64, 64, 3)		b'mashed potato' (class 167)
722		(64, 64, 3)		b'limousine, limo' (class 114)
723		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
724		(64, 64, 3)		b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui' (class 183)
725		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
726		(64, 64, 3)		b'computer keyboard, keypad' (class 26)
727		(64, 64, 3)		b'torch' (class 62)
728		(64, 64, 3)		b'go-kart' (class 163)
729		(64, 64, 3)		b'baboon' (class 32)
730		(64, 64, 3)		b'beaker' (class 187)
731		(64, 64, 3)		b'baboon' (class 32)
732		(64, 64, 3)		b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria' (class 90)
733		(64, 64, 3)		b'turnstile' (class 122)
734		(64, 64, 3)		b'umbrella' (class 18)
735		(64, 64, 3)		b'tractor' (class 75)
736		(64, 64, 3)		b'suspension bridge' (class 119)
737		(64, 64, 3)		b'magnetic compass' (class 191)
738		(64, 64, 3)		b'bison' (class 175)
739		(64, 64, 3)		b'Chihuahua' (class 182)
740		(64, 64, 3)		b'Arabian camel, dromedary, Camelus dromedarius' (class 27)
741		(64, 64, 3)		b'rocking chair, rocker' (class 3)
742		(64, 64, 3)		b'limousine, limo' (class 114)
743		(64, 64, 3)		b'reel' (class 1)
744		(64, 64, 3)		b'water jug' (class 118)
745		(64, 64, 3)		b'teddy, teddy bear' (class 144)
746		(64, 64, 3)		b'binoculars, field glasses, opera glasses' (class 197)
747		(64, 64, 3)		b'dugong, Dugong dugon' (class 116)
748		(64, 64, 3)		b'convertible' (class 157)
749		(64, 64, 3)		b'chest' (class 110)
750		(64, 64, 3)		b'maypole' (class 21)
751		(64, 64, 3)		b'suspension bridge' (class 119)
752		(64, 64, 3)		b'vestment' (class 104)
753		(64, 64, 3)		b'walking stick, walkingstick, stick insect' (class 181)
754		(64, 64, 3)		b'espresso' (class 8)
755		(64, 64, 3)		b'poncho' (class 178)
756		(64, 64, 3)		b'comic book' (class 173)
757		(64, 64, 3)		b'kimono' (class 172)
758		(64, 64, 3)		b'triumphal arch' (class 79)
759		(64, 64, 3)		b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui' (class 183)
760		(64, 64, 3)		b'sports car, sport car' (class 117)
761		(64, 64, 3)		b'convertible' (class 157)
762		(64, 64, 3)		b'neck brace' (class 81)
763		(64, 64, 3)		b'bullfrog, Rana catesbeiana' (class 5)
764		(64, 64, 3)		b'teapot' (class 71)
765		(64, 64, 3)		b'standard poodle' (class 194)
766		(64, 64, 3)		b'beaker' (class 187)
767		(64, 64, 3)		b'barbershop' (class 145)
768		(64, 64, 3)		b'albatross, mollymawk' (class 35)
769		(64, 64, 3)		b'sock' (class 47)
770		(64, 64, 3)		b'sports car, sport car' (class 117)
771		(64, 64, 3)		b'brain coral' (class 164)
772		(64, 64, 3)		b'barrel, cask' (class 65)
773		(64, 64, 3)		b'banana' (class 46)
774		(64, 64, 3)		b'dumbbell' (class 154)
775		(64, 64, 3)		b'meat loaf, meatloaf' (class 192)
776		(64, 64, 3)		b'scoreboard' (class 148)
777		(64, 64, 3)		b'altar' (class 185)
778		(64, 64, 3)		b'kimono' (class 172)
779		(64, 64, 3)		b'fountain' (class 140)
780		(64, 64, 3)		b'ox' (class 120)
781		(64, 64, 3)		b'Persian cat' (class 131)
782		(64, 64, 3)		b'space heater' (class 30)
783		(64, 64, 3)		b'pop bottle, soda bottle' (class 45)
784		(64, 64, 3)		b'Persian cat' (class 131)
785		(64, 64, 3)		b'hog, pig, grunter, squealer, Sus scrofa' (class 101)
786		(64, 64, 3)		b'European fire salamander, Salamandra salamandra' (class 55)
787		(64, 64, 3)		b'monarch, monarch butterfly, milkweed butterfly, Danaus plexippus' (class 13)
788		(64, 64, 3)		b'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM' (class 106)
789		(64, 64, 3)		b'syringe' (class 162)
790		(64, 64, 3)		b'confectionery, confectionary, candy store' (class 146)
791		(64, 64, 3)		b'military uniform' (class 169)
792		(64, 64, 3)		b'desk' (class 85)
793		(64, 64, 3)		b'European fire salamander, Salamandra salamandra' (class 55)
794		(64, 64, 3)		b'water jug' (class 118)
795		(64, 64, 3)		b'freight car' (class 52)
796		(64, 64, 3)		b'computer keyboard, keypad' (class 26)
797		(64, 64, 3)		b'torch' (class 62)
798		(64, 64, 3)		b'binoculars, field glasses, opera glasses' (class 197)
799		(64, 64, 3)		b'military uniform' (class 169)
800		(64, 64, 3)		b'sunglasses, dark glasses, shades' (class 112)
801		(64, 64, 3)		b'boa constrictor, Constrictor constrictor' (class 177)
802		(64, 64, 3)		b'American alligator, Alligator mississipiensis' (class 160)
803		(64, 64, 3)		b'monarch, monarch butterfly, milkweed butterfly, Danaus plexippus' (class 13)
804		(64, 64, 3)		b'cliff, drop, drop-off' (class 7)
805		(64, 64, 3)		b'flagpole, flagstaff' (class 150)
806		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
807		(64, 64, 3)		b'Egyptian cat' (class 0)
808		(64, 64, 3)		b'drumstick' (class 153)
809		(64, 64, 3)		b'rugby ball' (class 128)
810		(64, 64, 3)		b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui' (class 183)
811		(64, 64, 3)		b'scorpion' (class 125)
812		(64, 64, 3)		b'volleyball' (class 2)
813		(64, 64, 3)		b'viaduct' (class 168)
814		(64, 64, 3)		b'moving van' (class 64)
815		(64, 64, 3)		b'golden retriever' (class 78)
816		(64, 64, 3)		b'go-kart' (class 163)
817		(64, 64, 3)		b'vestment' (class 104)
818		(64, 64, 3)		b'nail' (class 29)
819		(64, 64, 3)		b'butcher shop, meat market' (class 99)
820		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
821		(64, 64, 3)		b'apron' (class 134)
822		(64, 64, 3)		b'dugong, Dugong dugon' (class 116)
823		(64, 64, 3)		b'rocking chair, rocker' (class 3)
824		(64, 64, 3)		b'candle, taper, wax light' (class 84)
825		(64, 64, 3)		b'alp' (class 60)
826		(64, 64, 3)		b'German shepherd, German shepherd dog, German police dog, alsatian' (class 11)
827		(64, 64, 3)		b'pretzel' (class 40)
828		(64, 64, 3)		b'projectile, missile' (class 49)
829		(64, 64, 3)		b'barbershop' (class 145)
830		(64, 64, 3)		b'dining table, board' (class 12)
831		(64, 64, 3)		b'scoreboard' (class 148)
832		(64, 64, 3)		b'Yorkshire terrier' (class 135)
833		(64, 64, 3)		b'American alligator, Alligator mississipiensis' (class 160)
834		(64, 64, 3)		b'water tower' (class 109)
835		(64, 64, 3)		b'gondola' (class 193)
836		(64, 64, 3)		b'cliff dwelling' (class 166)
837		(64, 64, 3)		b'Persian cat' (class 131)
838		(64, 64, 3)		b'pole' (class 176)
839		(64, 64, 3)		b'walking stick, walkingstick, stick insect' (class 181)
840		(64, 64, 3)		b'cockroach, roach' (class 48)
841		(64, 64, 3)		b'nail' (class 29)
842		(64, 64, 3)		b'hog, pig, grunter, squealer, Sus scrofa' (class 101)
843		(64, 64, 3)		b'brass, memorial tablet, plaque' (class 155)
844		(64, 64, 3)		b'African elephant, Loxodonta africana' (class 199)
845		(64, 64, 3)		b'German shepherd, German shepherd dog, German police dog, alsatian' (class 11)
846		(64, 64, 3)		b'scoreboard' (class 148)
847		(64, 64, 3)		b'thatch, thatched roof' (class 139)
848		(64, 64, 3)		b'ice cream, icecream' (class 28)
849		(64, 64, 3)		b'snorkel' (class 111)
850		(64, 64, 3)		b'computer keyboard, keypad' (class 26)
851		(64, 64, 3)		b'albatross, mollymawk' (class 35)
852		(64, 64, 3)		b'banana' (class 46)
853		(64, 64, 3)		b'flagpole, flagstaff' (class 150)
854		(64, 64, 3)		b'lakeside, lakeshore' (class 56)
855		(64, 64, 3)		b'spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish' (class 89)
856		(64, 64, 3)		b'European fire salamander, Salamandra salamandra' (class 55)
857		(64, 64, 3)		b'drumstick' (class 153)
858		(64, 64, 3)		b'dam, dike, dyke' (class 88)
859		(64, 64, 3)		b'baboon' (class 32)
860		(64, 64, 3)		b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor' (class 102)
861		(64, 64, 3)		b'Arabian camel, dromedary, Camelus dromedarius' (class 27)
862		(64, 64, 3)		b'chest' (class 110)
863		(64, 64, 3)		b'chest' (class 110)
864		(64, 64, 3)		b'barrel, cask' (class 65)
865		(64, 64, 3)		b'sports car, sport car' (class 117)
866		(64, 64, 3)		b'candle, taper, wax light' (class 84)
867		(64, 64, 3)		b'neck brace' (class 81)
868		(64, 64, 3)		b'torch' (class 62)
869		(64, 64, 3)		b'space heater' (class 30)
870		(64, 64, 3)		b'remote control, remote' (class 54)
871		(64, 64, 3)		b'military uniform' (class 169)
872		(64, 64, 3)		b'water tower' (class 109)
873		(64, 64, 3)		b'computer keyboard, keypad' (class 26)
874		(64, 64, 3)		b'confectionery, confectionary, candy store' (class 146)
875		(64, 64, 3)		b'backpack, back pack, knapsack, packsack, rucksack, haversack' (class 38)
876		(64, 64, 3)		b'mantis, mantid' (class 51)
877		(64, 64, 3)		b'bathtub, bathing tub, bath, tub' (class 179)
878		(64, 64, 3)		b'abacus' (class 63)
879		(64, 64, 3)		b'pomegranate' (class 170)
880		(64, 64, 3)		b'confectionery, confectionary, candy store' (class 146)
881		(64, 64, 3)		b'cliff, drop, drop-off' (class 7)
882		(64, 64, 3)		b'lemon' (class 4)
883		(64, 64, 3)		b'lifeboat' (class 196)
884		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
885		(64, 64, 3)		b'albatross, mollymawk' (class 35)
886		(64, 64, 3)		b'butcher shop, meat market' (class 99)
887		(64, 64, 3)		b"spider web, spider's web" (class 36)
888		(64, 64, 3)		b'barrel, cask' (class 65)
889		(64, 64, 3)		b'American lobster, Northern lobster, Maine lobster, Homarus americanus' (class 151)
890		(64, 64, 3)		b'magnetic compass' (class 191)
891		(64, 64, 3)		b'cliff dwelling' (class 166)
892		(64, 64, 3)		b'American lobster, Northern lobster, Maine lobster, Homarus americanus' (class 151)
893		(64, 64, 3)		b'neck brace' (class 81)
894		(64, 64, 3)		b'thatch, thatched roof' (class 139)
895		(64, 64, 3)		b'baboon' (class 32)
896		(64, 64, 3)		b'albatross, mollymawk' (class 35)
897		(64, 64, 3)		b'bell pepper' (class 188)
898		(64, 64, 3)		b'parking meter' (class 10)
899		(64, 64, 3)		b'barn' (class 133)
900		(64, 64, 3)		b'candle, taper, wax light' (class 84)
901		(64, 64, 3)		b'pomegranate' (class 170)
902		(64, 64, 3)		b'brass, memorial tablet, plaque' (class 155)
903		(64, 64, 3)		b'syringe' (class 162)
904		(64, 64, 3)		b'crane' (class 103)
905		(64, 64, 3)		b'birdhouse' (class 72)
906		(64, 64, 3)		b'dugong, Dugong dugon' (class 116)
907		(64, 64, 3)		b'school bus' (class 15)
908		(64, 64, 3)		b'meat loaf, meatloaf' (class 192)
909		(64, 64, 3)		b'acorn' (class 195)
910		(64, 64, 3)		b'pizza, pizza pie' (class 16)
911		(64, 64, 3)		b'jinrikisha, ricksha, rickshaw' (class 108)
912		(64, 64, 3)		b'kimono' (class 172)
913		(64, 64, 3)		b'black stork, Ciconia nigra' (class 115)
914		(64, 64, 3)		b'swimming trunks, bathing trunks' (class 136)
915		(64, 64, 3)		b'bee' (class 87)
916		(64, 64, 3)		b'German shepherd, German shepherd dog, German police dog, alsatian' (class 11)
917		(64, 64, 3)		b'monarch, monarch butterfly, milkweed butterfly, Danaus plexippus' (class 13)
918		(64, 64, 3)		b'brown bear, bruin, Ursus arctos' (class 14)
919		(64, 64, 3)		b'neck brace' (class 81)
920		(64, 64, 3)		b'cliff, drop, drop-off' (class 7)
921		(64, 64, 3)		b'cliff dwelling' (class 166)
922		(64, 64, 3)		b'lawn mower, mower' (class 138)
923		(64, 64, 3)		b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria' (class 90)
924		(64, 64, 3)		b'candle, taper, wax light' (class 84)
925		(64, 64, 3)		b'lampshade, lamp shade' (class 61)
926		(64, 64, 3)		b'bullfrog, Rana catesbeiana' (class 5)
927		(64, 64, 3)		b'pop bottle, soda bottle' (class 45)
928		(64, 64, 3)		b"potter's wheel" (class 96)
929		(64, 64, 3)		b'European fire salamander, Salamandra salamandra' (class 55)
930		(64, 64, 3)		b'binoculars, field glasses, opera glasses' (class 197)
931		(64, 64, 3)		b'umbrella' (class 18)
932		(64, 64, 3)		b'syringe' (class 162)
933		(64, 64, 3)		b'hourglass' (class 24)
934		(64, 64, 3)		b'rugby ball' (class 128)
935		(64, 64, 3)		b'goose' (class 67)
936		(64, 64, 3)		b'cannon' (class 80)
937		(64, 64, 3)		b'turnstile' (class 122)
